অভিধান	ôbhidhan
গ্রহাণু	grôhanu
পীচ	pic
মেয়নেজ	mēẏanēja
ফিলিস্তিন	philistin
প্যালেস্টাইন	pyalesţa'in
ব্রিটেন	briţen
ঘুষ	ghush
হস্তমৈথুন	hôstômoithun
হাত মারা	hat mara
কৃত্রিম	kritrim
কৃত্রিম	kritrim
রুমাল	rumal
খুশি	khushi
কিডনি	kiḑni
বৃক্ক	brikkô
অন্ত্র	ôntrô
সতর্ক	sôtôrkô
তথ্য	tôtthô
খেলা	khela
উদ্দ্যান	uddyān
যবক্ষারজান	yabakṣārajān
লবণক	labanak
অম্লজান	amlajān
বিমান	bimāna
খপোত	khôpot
উড়োজাহাজ	uŗojahaj
বিমান	biman
আকাশযান	akashôyan
কাগজ	kagôj
সাহায্য	shahajjô
সাহায্য করা	shahajjô kôra
পদার্থবিজ্ঞান	pôdarthôbiggan
পদার্থবিদ্যা	pôdarthôbidya
স্তন	stôn
অভিস্রবণ	abhisrabaṇ
জানালা	janala
হার্ডওয়্যার	harḑ-owar
হার্ডওয়্যার	harḑ-owar
স্মৃতি	smriti
একুশ	ekush
বাইশ	baish
তেইশ	teish
চব্বিশ	chôbbish
পঁচিশ	pỗchish
ছাব্বিশ	chabbish
সাতাশ	shatash
আঠাশ	athash
উনতিরিশ	unôtirish
খোঁজা	khõja
সংসদ	sônsôd
বিশ্ববিদ্যালয়	bishbôbidyalôẏô
মাকড়সা	makôŗsha
ফটোগ্রাফি	fôţografi
ফটোগ্রাফী	fôţografi
পশুপালক	paśupālaka
ডাকা	ḑak
সাগর	shagôr
সমুদ্র	shômudrô
প্লিজ	pliz
প্লীজ	pliz
ডাউনলোড	ḑa'unloḑ
ডাউনলোড করা	ḑa'unloḑ kôra
ডাউনলোড	ḑa'unloḑ
জরৈফ	jiraph
মহাবিশ্ব	môhabishbô
নর্তকী	nôrtôki
প্যারিস	Pêris
মস্কো	môsko
লন্ডন	lanḑan
গোলক	golôk
গোলক	golôk
বাইসাইকেল	ba'isa'ikel
সাইকেল	sa'ikel
মোটরসাইকেল	moţôrsa'ikel
হিলিয়াম	hiliẏām
দুধ	dudh
পালক	palôk
অঙ্গার	aṅgār
মিটার	miţar
উপহার	uphar
জ্বালানি	jbālāni
বাঁধ	bãdh
সিগারেট	sigareţ
পরমাণু	pôrômāṇu
মাইল	ma'il
অ-	a-
লিথিযাম	lithiyām
বোরন	bōran
ফ্লুরিন	phlurin
নিয়ন	niẏan
ম্যাগনেসিয়াম	myāgnēsiẏām
অ্যালুমিনিয়াম	æyāluminiẏām
দস্তা	dôsta
ঘনাতু	ghanātu
বাস	bas
মর্যাদা	môryada
বিদ্যালয়	bidyālaẏa
সেক্স	seks
লিঙ্গ	ling
ডিউটেরিয়াম	ḑi'uţeriyam
আধা	adha
উপমক্ষিকা	upômôkshika
ভাল	bhāla
পোকা	poka
কোদাল	kodal
কন্ডম	kônḑôm
শহর	shôhôr
নগর	nôgôr
দোকান	dokan
উপাধি	upadhi
বুদ্ধিমান	bud'dhimāna
ঘাম	gham
শিক্ষা	shikkha
শিক্ষা	shikkha
কাঁটাচামচ	kanţacamôc
রেস্টুরেন্ট	resţurenţ
রেস্তোরাঁ	restoram
টেলিভিশন	ţelibhishôn
টেলিভিশন সেট	ţelibhishôn seţ
বাষ্প	basp
ভাপ	bhap
ধন্যবাদ	dhônnôbad
নিরাপত্তা	nirapôtta
প্রব্লেম	prôblem
অসীম	asīma
খ্রিস্ট ধর্ম	khrisţ dhôrm
অলৌকিক	ôloukik
খ্রীষ্ট	khrishţô
তীর	tir
বন	bôn
জঙ্গল	jônggôl
ক্যাশ	kæsh
নগদ	nôgôd
ধোয়া	dhoa
ধোওয়া	dhoa
লাঞ্চ	lāñca
চুম্বন করা	cumbôn kôra
চুম্বন	cumbôn
ভদকা	bhôdka
নাভি	nabhi
চার্লস	charlôs
ক্রিস্টোফার	krisţophar
ড্যানিয়েল	Ḑêniẏel
জাহাজ	jahaj
ভিসা	bhisa
জন্মদিন	jônmôdin
জন্মদিন	janmadin
তাগালোগভাষা	tāgālōga bhāṣā
সূচি	suci
সুই	su'i
ক্রিসমাস	krismas
অস্ত্রবিরতি	ôstrôbirôti
নন্দ	anondo
বৈশিষ্ট্য	boishishţţô
মুভি	muvi
মুভী	muvi
ফিল্ম	philm
সিনেমা	sinema
আয়তক্ষেত্র	āẏatakṣētra
কলনবিদ্যা	kalanbidyaa
প্যারাশুট	pærashuţ
ইনফ্লুয়েঞ্জা	inphluyenja
কারখানা	karkhana
ফ্যাক্টরী	phyakţôri
পেট্রল	peţrôl
নখ	nôkh
ব্যাংকক	bæṃkôk
বার্লিন	barlin
প্লাস্টিক	plasṭik
হাভানা	havānā
অর্থনীতি	ôrthôniti
চৌর্যোন্মাদ	cauryōnmād
জাকার্তা	Jakarta
জেরুসালেম	jerusalem
কাবুল	Kabul
কাঠমান্ডু	kaṭhmanḍu
কিয়েভ	kiẏebh
রিয়াদ	riyad
সানফ্রান্সিস্কো	sanphransisko
সিওল	siol
ত্বক	tbôkô
তেহরান	Tehrān
তেহ্রাণ	Tehrāṇ
টোকিও	ţoki'o
ওয়ার্সা	oyarsa
ত্রিংশত্তম	trinśattama
চত্বারিংশত্তম	catbārinśattama
পঁচাশত্তম	pam̐cāśattama
ষষ্টিতম	ṣaṣṭitama
অশীতিতম	aśītitama
নবতিতম	nabatitama
একাশি	ekashi
পপকর্ন	pôpkôrn
ভুট্টার খই	bhuţţar khô'i
গ্রাম	gram
কিছু না	kichu na
কুরআন	kur-an
অনুবাদক	ônubadôk
টয়লেট পেপার	ţoẏleţ pepar
কামার	kamar
অনুবাদক	ônubadôk
আপনি কেমন আছেন?	apni kêmôn achen?
তুমি কেমন আছো?	tumi kêmôn acho?
তুই কেমন আছিস?	tui kêmôn achish?
সংবাদপত্র	shôngbadpôtrô
কাঁচ	kãc
গ্লাস	glas
শক্তিশালী	shôktishali
বাংলাদেশী	Bangladeshi
বাংলাদেশি	Bangladeshi
আইসক্রীম	a'isakrim
সমূদ্রতট	shômudrôtôṭ
লেসবিয়ান	lesbian
লেসবিয়ান	lesbian
হকি	hôki
কিলো	kilō
বর্মী ভাষা	bôrmi bhasha
আপনার নাম কী?	apnar nam ki?
তোমার নাম কী?	tomar nam ki?
আমার নাম	āmār nam...
টয়লেটটি কোথায়?	ṭôelēṭṭi kōthāẏa?
আপনার নাম কি?	āpnār nām ki?
তোমার নাম কি?	tōmār nām ki?
লক্ষ্য	lakshya
ছায়া	chaẏa
শ্যাডো	shaḑo
কর্মী	kôrmi
বিজলী	bijôlī
স্তনবৃন্ত	stônbrintô
যৌনসঙ্গম	jounôsôngôm
ঘড়ি	ghôŗi
ফটোগ্রাফ	fôţograf
ফটো	fôţo
রসুন	rôsun
দাঁড়ানো	dãŗano
খলিফা	khôlipha
সুগন্ধি	sugôndhi
বানমাছ	bāna-mācha
আদা	ādā
আদা	ādā
ছত্রাক	chôtrak
অদৃশ্য	ôdrishyô
সোফিয়া	Sophiyā
ঘটনা	ghôţna
ঘটনা	ghôţna
পেঁয়াজ	pẽyaj
আল্লাহ	allah
আইনজীবি	a'inôjibi
সরীসৃপ	sôrisrip
কৃষ্ণসীস	kr̥ṣṇasīs
চাকা	caka
টায়রা	ţayra
হল্যান্ড	hôlyanḑ
নেদারল্যান্ডস	nedarlyanḑôs
ঠোঁট	ţhõţ
গন্ধ	gôndhô
শিঙা	shinga
কিছু একটা	kichu ekţa
দুর্বল	durbôl
চিতা	citā
চিতাবাঘ	citabagh
সিংহ	singha
জলহস্তী	jôlôhôsti
পতাকা	pôtaka
ফ্ল্যাগ	flêg
বিছা	bichA
বাঁদর	bãdôr
কুমীর	kumir
উপত্যকা	upôttôka
ইস্পাত	ispat
চা	ca
চা	ca
টিয়া	ţia
ভার্চুয়াল	varcuẇal
আলু	alu
ঐতিহাসিক	oitihasik
ইতিহাস	itihas
ঐতিহাসিক	oitihasik
ফুটি	phuṭi
সাফল্য	saphôlya
হাই তোলা	ha'i tola
হাই	ha'i
রেইকিয়াভিক	rēikiẏābhik
তামাক	tamak
তামাক	tamak
জার	jar
পত্রিকা	pôtrika
চিংড়ি	cinri
কালি	kāli
ভুত	bhut
হাগু	hagu
ভগাঙ্কুর	bhôgangkur
স্নুকার	snukar
জলদস্যু	jôlôdôsyu
আভিধানিক	ābhidhānik
ছোট	choṭô
পাতা	pata
নেকড়েবিশেষ	nēkaṛēbiśēṣa
চোর	cor
বাংলা	Bangla
বাংলা ভাষা	Bangla bhasha
উর্দু	urdu
ব্যাক্টেরিয়া	bêkţeriẏa
লরি	lari
ট্রাক	ţrak
আঞ্চলিক	ancôlik
আম	ām
দড়ি	daŗi
হসন্ত	hasanta
নীহারিকা	niharika
টেবিল	ţebil
ট্রাম	ţram
দুঃখ	duḥkh
বেদনা	bedôna
সুখ	shukh
সুখ	sukha
হীরা	hira
পোশাক	poshak
পারস্য	parôsyô
বিবাহ	bibah
ব্যক্তিগত কম্পিউটার	bêktigôtô kômpiuţar
মরুভূমি	môrubhumi
খালি	khali
রেঙ্গুন	rengun
দৈহিক	doihik
অনিবার্য	ônibarjô
একই	ēka'i
হলুদ	halud
লাতিন আমেরিকা	lātin āmērikā
মোটরগাড়ি	moṭôrgaŗi
ড্রাগন	ḑragôn
তোপ	top
সংস্কৃতি	sôngskriti
বোলতা	bolta
ব্যাঙ	byan
কুকুরছানা	kukurchana
বাঘিনি	baghini
পতঙ্গ	pôtông
দূরভাষা	doorbhaashaa
ফোন	phon
মুরগি	murgi
সূত্র	sutrô
কীট	kiţ
বীজ	bij
মূল	mul
ক্যান্সার	kænsar
ছাল	chal
নখ	nôkh
রেল গাড়ী	rel gaŗi
গাড়ী	gaŗi
প্রতিবেশী	prôtibeshi
পেয়ালা	peẏala
মূর্খ	murkhô
নাক ডাকা	nak ḑaka
ঠিকানা	thikana
শিক্ষা করা	shikkha kôra
শিক্ষা	shikkha
গ্রন্থাগার	grônthagar
মটর	môţôr
টিকেট	ţikeţ
রসিদ	rasid
অন্ত্র	ôntrô
ভূগোল	bhugol
জ্যাম	jæm
সমুদ্র	sômudrô
মহাসমুদ্র	môhasômudrô
পাসপোর্ট	pasporţ
দূরবীন	durbin
ফুসফুস	phusphus
আত্মা	atma
বুদ্ধ	buddhô
বৌদ্ধ ধর্ম	bouddhô dhôrmô
বিগ বেন	big ben
গোঁফ	gomph
ট্যাপিওকা	ṭyāpi'ōkā
নববধূ	nôbbôdhu
এরপর	erpôr
এর পর	er pôr
এরপরে	erpôre
এর পরে	er pôre
তারপর	tarpôr
তার পর	tar pôr
তারপরে	tarpôre
তার পরে	tar pôre
তাল	tal
সতর্কীকরণ	sôtôrkikôrôn
জীবন্ত	jibôntô
বিবাদ	bibad
হাঙ্গর	hanggôr
হাঙর	hangôr
তিমি	timi
রাষ্ট্রদূত	rashţrôdut
আমেরিকা	amerika
বিশ্লেষণ করা	bisleshôn kôra
আশ্চর্য	ashcôrjô
মৃতদেহ	mr̥tōdēhō
লাশ	lāś
মড়া	maṛā
শব	śab
রবর	rôbar
মোমবাতি	mombāti
খরা	khôra
সার্বো-ক্রোয়েশীয়-বসনীয় ভাষা	Sarbo-Kroeshiẹ-Bôsniẹ bhasha
বিশ্রী	bisri
আন্দামান দ্বীপপুঞ্জ	āndāmān dbīppuñj
শত্রু	shôtru
দুশমন	dushmôn
জ্বালাতন	jalatôn
নৃবিজ্ঞান	nr̥bijñān
আত্মহত্যা	atmôhôtya
পেশী	peshi
বড়	bôŗô
গাজর	gājar
ছাদ	chad
গ্রন্থি	grônthi
চুলা	cula
ব্যবহার করা	bêbôhar kôra
আলোচনা	alochona
প্রোগ্রামিং ভাষা	programer bhasha
শসা	shôsha
সাধারণভাবে	Sadharanbhabe
প্রস্রাব	prôsrab
মূত্র	mutrô
মলদ্বার	môldar
পুটকি	puţki
প্রতি	prôti
হোটেল	hoţel
সমকামিতা	sômôkamita
উভকামিতা	ubhôkamita
ফটো	fôţo
ব্যয়বহুল	byôẏôbôhul
প্রিন্টার	prinţar
রক্তাক্ত	rôktaktô
ছুটির দিন	chuţir din
উদ্ভিদবিজ্ঞান	udbhidbijñān
মাইক্রোগ্রাম	maikrogram
টুপি	ţupi
দুঃখিত	duḥkhit
সুপ	supa
সাবমেরিন	sabmerin
শুক্রাণু	shukranu
বীর্য	birjô
শিলাবৃষ্টি	shilabrishţi
উত্তম পুরুষ	uttôm purush
মধ্যম পুরুষ	môddhôm purush
প্রথম পুরুষ	prôthôm purush
পরী কাহিনী	pôri kahini
বেদাগ ইস্পাত	bedag ispat
স্বাস্থ্য	sbasthÿô
আরোগ্য	arogya
কুইডিচ	ku'iḑic
কিডিচ	k'iḑic
উল্কি	ulki
বিদেশি	bideshi
বিদেশী	bideshi
মোজা	moja
চামচ	camôc
গালিচা	galica
শুভ নববর্ষ	śubha nababarṣa
নববর্ষ	nôbôbôrshô
নতুন বছর	nôtun bôchôr
আলোক বর্ষ	ālōk barṣ
প্রোগ্রাম	program
দ্বীপপুঞ্জ	dbīpapuñja
বীর	bir
আদর্শ পুরূষ	ādarś purūṣ
চারিত্রিক	caritrik
পর্নোগ্রাফি	pôrnographi
ঝাড়ু	jhaŗu
দূরবীন	durbin
নবী	nôbi
বেল্গ্রেড	Belgre.d
উপন্যাস	upôn'yash
সবকিছু	shôbkichu
সব জায়গা	shôb jaẹga
কোথাও না	kothao na
কোথাও	kothao
মানুষ	manush
মানব	manôb
ইসলামী	islami
ইসলামি	islami
চতুর	côtur
শয়তান	shôytan
তরঙ্গ	tôrônggô
সুস্বাদু	susbadu
জার্মান সাম্রাজ্য	jārmāna sāmrājya
সাহসী	sahôsi
অনেক	ônek
বহু	bôhu
অপেক্ষা করা	ôpekha kôra
চোরাবালি	corabali
পছন্দ করা	pôchôndô kôra
মত	môtô
শিখ	
অভ্যুত্থান	ôbhyut'than
পোশাক	poshak
চেষ্টা করা	ceshţa kôra
দাঁড়ানো	dãŗano
সৈনিক	sainik
হাত মারা	hat mara
বিবাহ	bibah
করোটি	karoţi
গায়ক	gaẏôk
ছাত্র	chatrô
প্রবেশ করা	prôbesh kôra
স্বাধীনতা	shadhinôta
আটাশি	aţashi
শিক্ষক	shikkhôk
অবশ্য	ôbôshyô
অবশ্যই	ôbôshyô'i
শীঘ্রই	shighrô'i
ভ্যাম্পায়ার	bhæmpayar
হসন্ত	hôshonto
চন্দ্রবিন্দু	côndrôbindu
পঁয়তাল্লিশ	pỗẏtallish
পেরিনিয়াম	periniẏam
মাতাল	mātāla
ফ্যাক্স	phæks
ভাইরাস	bha'iras
দরজা	dôrja
গেট	geţ
ঘৃণা করা	ghrina kôra
ঢুকানো	ḑhukano
ঢুকানো	ḑhukano
বিবর্তন	bibôrtôn
নিলাম	nilāma
বৈদেশিক	boideshik
বৈদেশিক	boideshik
নির্বাণ	nirbāṇa
নির্বাণ	nirbāṇa
প্রশ্ন	prôshnô
চশমা	côshma
অপেক্ষা করা	ôpekha kôra
গাঁজাখোর	gajakhor
যোনি	yoni
পৃষ্ঠা	prishţha
পাতা	pata
কোটনা	koţna
ট্যাক্সি	ţêksi
ক্যাব	kêb
মেস	mēs
রান্নাঘর	rannaghôr
বিগ্গানী	biggani
খন্ড	khônḑô
কিছুক্ষন	kichukkhôn
নিবার্য	nibarjô
আচরণ	acôrôn
আচরণ	acôrôn
রায়ান	rāẏān
কলকাতা	Kôlkātā
মেরি	meri
পক্ষীবিশেষ	pakṣībiśēṣa
শবাগার	shôbagar
গণিত	gaṇit
আয়না	aẏna
আরশি	āraśi
দর্পণ	darpaṇ
চুরি	curi
কঙ্কাল	kônkal
ড্রাইভার লাইসেন্স	ḑra'ibhar la'isens
ফ্রিজ	phrij
কত	kôtô
রিচার্ড	Ricarḑ
গ্যাস স্টেশন	gæs sţeshôn
বগল	bôgôl
গুহা	guha
সীম	sim
শিম	shim
বিন্দু	bindu
গলদা	gôlda
কাঁকড়া	kam̐kôŗa
প্রতিষ্ঠাতা	prôtishţhata
শিল্পী	śilpī
শিল্পী	śilpī
কৃষিকার্য	krishikaryô
কবর	kôbôr
পঁচাত্তর	pỗcattôr
মূর্খ	murkhô
আধুনিক	adhunik
আশা	asha
আশা করা	asha kôra
আটাত্তর	aţattôr
পুতুল	putul
ডলফিন	ḑôlphin
হনূমান	hanūmān
আবেগ	abega
জনসংখ্যা	jônôsônkhya
এক	ek
মূর্খ	murkhô
বক্সিং	bôksin
সনি	soni
ঘৃণা	ghrina
স্কার্ফ	skarphô
সাবান	saban
কালজামজাতীয় ফল	kālajāmajātīẏa phala
সমাজ	sômaj
এভাবে	ebhabe
ডুমুর	ḍumur
তরমুজ	tôrômuj
সন্ত্রাসবাদী	sôntrasôbadi
স্টেশন	sţeshôn
ভুরু	bhuru
টিকিট	ṭikiṭ
স্বীকৃতি	shikriti
জলজ	jôlôj
কারাগার	karagar
জলবায়ু	jôlôbaẏu
রূমাল	rumal
কুর্দিস্তান	kurdistan
গলা	gôla
রিকশা	riksha
ইন্ডস্ট্রী	inḑôsţri
শিক্ষা	shikkha
 ঢাল	ḑhal
তিম	etim
কৃষ্ণ সাগর	krishn shagôr
হঠাত্	hôţhat
বিসর্গ	bisorgo
আবিষ্কার	abishkar
কেটলি	keţli
খবর	khôbôr
খবর	khôbôr
মূর্তি	murti
ছেলে	chele
গ্লুকোজ	glukoz
-হীন	-hin
গন্ধ	gôndhô
তলা	tôla
সমুদ্র	shômudrô
ধ্বনিমূলক	dhwônmūlok
অয়স্কান্ত	aẏaskānta
মৃত্তিকা	mr̥ttikā
গাঁজা	gañja
প্রধান শিক্ষক	prôdhan shikshôk
চাষী	cashi
বিমানবন্দর	bimanbôndôr
প্রায়ই	prayô'i
অঞ্চল	ôncôl
চুক্তি	cukti
নৃত্য	nrityô
নাচা	naca
পাওয়া	paoẇa
কঠিন	kôţhin
উৎকৃষ্ট	utkrishţô
ফাটাফাটি	faţafaţi
গাঁজা	gãja
ডিস্ক	ḑisk
সহজ	sôhôj
অপেরা	ôpera
পার্সিফোন	parsiphon
দই	dô'i
ক্রীড়া	kriŗa
শ্তভযাত্রা	śtabho yātrā
ধার্মিক	dharmik
বীর্য	birjô
গ্রেট ব্রিটেন	greṭ briṭen
যাত্রী	yatri
ইমাম	imam
প্রজাতন্ত্রী চীন	prajātantrī cīn
গাল	gal
রাগমোচন	ragmocôn
স্নান	snan
ধারাস্নান	dharasnan
ঝরনা	jhorna
ধারাস্নানের যন্ত্র	dharasnaner yantra
বন্ধুত্ব	bôndhutbô
তারামাছ	taramach
তক্ষক	takṣaka
খান	khan
ফোটন	phoţôn
তৌরাত	taurat
দুপেয়ে	dupeye
দুপেয়ে	dupeye
সতর্কীকরণ	sôtôrkikôrôn
ঝুলনা	jhulna
দোলনা	dolna
বিবাদ	bibad
মৌলিক	moulik
মোটা	moṭa
দুঃখ	duḥkh
বেদনা	bedôna
কল্পনা	kôlpôna
অভিবাসন	ôbhibasôn
স্বাধীনতা	sbadhinta
মই	ma'i
জোঁক	jonk
ঝিনুক	jhinuk
মুক্তা	mukta
খুর	khur
লালা	lala
চিত্কার করা	citkar kôrā
সফল	sôphôl
কামাসক্ত	kamasôktô
কামুক	kamuk
তৃষ্ণা	tr̥ṣṇā
তোয়ালে	toẏale
বিবাদ	bibad
বিবাদ	bibad
কবিতা	kôbita
পদ্য	pôdyô
কবিতা	kôbita
কবি	kôbi
সাহিত্য	sāhitya
বার্তা	barôt
লক্ষ	lokkho
গুল্ম	gulmô
কমরেড	kamreḑ
সুপ্রভাত	shuprobhat
আন্তর্জাতিক	antôrjatik
পরজীবী	pôrôjibi
মেঘ	megh
কাল্পনিক	kalponik
শয়তান	shôytan
ইহুদি ধর্ম	ihudi dhôrmô
ইহুদি	ihudi
কারাওকে	kara'oke
নান	nan
দক্ষিণ পূর্ব এশিয়া	dakṣiṇa pūrba ēśiẏā
পুলিশ	pulish
ভ্যাকুয়াম ক্লিনার	bækuẏam klinar
মক্কা	môkka
শ্যাম্পু	shæmpu
হঠাত্	hôţhat
তুষারধবল	Tuṣāradhabala
বোসন	bosôn
বহুল	bôhul
সন্ধ্যা	sandhyā
নারীবাদ	nārībād
কেচাপ	kecap
প্রার্থনা করা	prarthôna kôra
প্লীহা	pliha
আগ্নেয়গিরি	agneẏôgiri
জলা	jôla
অগ্রপথিক	agropothik
জঙ্গল	jônggôl
প্রতীকী ভাষা	protiki bhasha
ডিলডো	ḑilḑo
ডিল্ডো	ḑilḑo
অনিবার্য	ônibarjô
জিনস	jinôs
আশ্রয়	Āśraẏa
রুবল	rubôl
বিপ্লব	biplôb
পিয়ং ইয়াং	piyômiyam
গর্ভবতী	gôrbhôbôti
বালিশ	balish
বর্ণালীমাপক	bôrnalimapôk
ছড়া	chôḑa
কান্ধ	kandh
অলৌকিক	ôloukik
আউন্স	ā'unsa
জ্যামিতি	jyāmiti
সিন্ধুঘোটক	shindhughoţôk
সুড়ঙ্গ	surông
ব্যাকপ্যাক	bækpæk
পালি	pali
বিশেষ	bishesh
ইলেকট্রনিক্স	ilekţrôniks
হলিউড	hôli'uḑ
হলিউড	hôli'uḑ
বলিউড	baliuḍ
বোরকা	borka
বাজার	bajar
সীমানা	simana
বারুদ	barud
আকাশগঙ্গা	akashgônga
হিন্দুধর্ম	hindudhôrm
ঢোল	ḑhol
উপবৃত্ত	upabr̥tta
কোণার	konar
কোণ	kon
ওয়েবসাইটি	oẹb-saiţ
বিয়াল্লিশ	biẏallish
ডালিয়া	ḑalia
আইওয়া	āiōẏā
নিউ মেক্সিকো	ni'u mēksikō
ওয়াশিংটন	ōẏāśiṇṭan
চতুর	côtur
প্রাণপদার্থবিদ্যা	prāṇpadārthbidyā
রক্ষা	rôksha
কাশ্মীর	kāśmīr
গর্ভধারণ	gôrbhôdharôṇ
স্পুতনিক	sputnik
প্রথা	prôtha
সতর্কীকরণ	sôtôrkikôrôn
সতর্কীকরণ	sôtôrkikôrôn
মৌলিক	moulik
মৌলিক	moulik
অনেক	ônek
বহু	bôhu
সংস্করণ	sanskaraṇa
অনুবাদ	anubāda
যমজ	yômôj
প্যাগোডা	pægoḑa
জিরা	jirā
রেটিনা	reţina
অন্ডকোষ	ônḑôkosh
অণ্ডকোষ	ônḑôkosh
হার	har
ভ্যাক্সিন	bhyaksin
টীকা	ţika
দিনলিপি	dinalipi
জাদুঘর	jadughôr
রক্তচাপ	rôktôcap
কখনো সখনো	kakhôno kakhôno
তাইপে	tāipe
স্বাক্ষর	sbakshôr
ল্যাম্প	læmpô
কুষ্ঠ	kushţhô
কুঠ	kuṭh
সিনেমা	sinema
দেশভক্ত	deshôbhôktô
চুরূট	curūṭ
দুরিয়ান	duriẏāna
দুরিয়ান	duriẏāna
ধানজমি	dhānajami
রোমান সাম্রাজ্য	roman samrajyô
কিনার	kinar
তীর	tir
জিহাদ	jihad
শিকাগো	śikāgō
স্থির করা	sthir kôra
আমন্ত্রণ করা	amôntrôn kôra
উপাস্থি	upasthi
কোমলাস্থি	komôlasthi
লুইস	lu'is
সাহায্য	shahajjô
বস্টন	bôsţôn
হিটলার	hiţlar
আডল্ফ হিটলার	aḑolph hiţlar
জ্বালাতন করা	jalatôn kôra
জ্বালাতন করা	jalatôn kôra
কলম	kalama
ঐতিহ্য	aitihya
রীতি	riti
প্রথা	prôtha
কার্নিভাল	karnibhal
মুফতি	muphti
বেশ্যালয়	beshyalôy
কৃত্রিম	kritrim
অন্ধপ্রায়	ôndhôpraẏ
সাংস্কৃতিক	sangskritik
এলাকা	ēlākā
চিকিত্সা	cikitsā
আইনস্টাইন	āinasṭāin
কদাপি	kôdapi
জার্নালিস্ট	jarnalisţ
মানবজাতি	manbôjati
টুথব্রাশ	ţuthbrash
ওজোন	ojon
অজ’ন	ôjô'n
ক্যাফিন	kæphin
নিবার্য	nibarjô
অলিম্পিক গেমস	ôlimpik gemôs
অলিম্পিক্স	ôlimpiks
রাম	rām
বেইজিং	bē'ijin
পিকিং	pikin
সোভিয়েত ইউনিয়ন	sobhiyet i'uniyôn
পক্ষীবিজ্ঞান	pôkṣībijñān
লিগামেন্ট	ligamenţ
ডিম্বাশয়	ḑimbashôẏa
দামেস্ক	damesk
ওয়াশিং মেশিন	oẏashing meshin
তাপগতিবিজ্ঞান	tāpôgôtibijñān
জাগা	jaga
জাগানো	jagano
ওয়ালেট	oẏaleţ
মানিব্যাগ	manibæg
সতর্ক	sôtôrkô
সতর্কীকরণ	sôtôrkikôrôn
রবার	rôbar
ভালভা	valva
শিক্ষামূলক	shikkhamulôk
আছে	ache
ঠেলাগাড়ি	thelagari
ঠেলা	thela
কঙ্গো প্রজাতন্ত্র	kôngo prôjatôntrô
আঞ্চলিক	ancôlik
রক্তশূন্যতা	rɔktɔśūnyɔtā
ডাকিনীবিদ্যা	ḍākinībidyā
মোবাইল ফোন	mōbāil phōn
মোবাইল	mōbāil
মুঠোফোন	muṭhōphōn
টেলিগ্রাম	ţeligram
উনসত্তর	unôsôttôr
জার্নালিজম	jarnalijôm
আখ	akh
উপদ্বীপ	upôdbip
উপসাগর	upôshagôr
দুঃস্বপ্ন	duḥsbôpnô
কুস্বপ্ন	kusbôpnô
মাইক্রোসফট	māikrosaphṭ
বাণিজ্য	baniyô
এলজিবিটি	ēljibiṭi
অনিবার্য	ônibarjô
আটানব্বই	aţanôbbôi
আটতিরিশ	aţtirish
আটষট্টি	aţshôţţi
সাতষট্টি	shatshôţţi
ছেষট্টি	cheshôţţi
পঁয়ষট্টি	pỗẏshôţţi
নিহাই	nihāi
মঞ্চনাটক	môncônaţôk
থিয়েটার	thiẏeţar
সতর্ক	sôtôrkô
সাবধান	sābdhān
তর্পণ	tarpaṇ
তর্পণ	tarpaṇ
বিকিনি	bikini
বাল	bal
নথিপত্র	nôthipôtrô
বত্রিশ	bôtrish
তেত্রিশ	tetrish
চৌঁতিরিশ	cõwtirish
পঁয়তিরিশ	pỗẏtirish
ছত্রিশ	chôtrish
সাঁইতিরিশ	shãitirish
উনচল্লিশ	unôcôllish
একচল্লিশ	ekcôllish
তেতাল্লিশ	tetallish
চুয়াল্লিশ	cuẏallish
ছেচাল্লিশ	chēcālliś
সাতচল্লিশ	sātacalliś
আটচল্লিশ	aţcôllish
উনপঞ্চাশ	unôpôncash
একান্ন	ekannô
বাহান্ন	bahannô
তিপান্ন	tipannô
চুয়ান্ন	cuyannô
পঞ্চান্ন	pôncannô
ছাপ্পান্ন	chappannô
সাতান্ন	shatannô
আটান্ন	aţannô
উনষাট	unôshaţ
একষট্টি	ekshôţţi
বাষট্টি	bashôţţi
তেষট্টি	teshôţţi
একাত্তর	ekattôr
বাহাত্তর	bahattôr
তিয়াত্তর	tiẏattôr
চুয়াত্তর	cuẏattôr
ছিয়াত্তর	chiẏattôr
সাতাত্তর	shatattôr
বিরাশি	birashi
তিরাশি	tirashi
চুরাশি	curashi
পঁচাশি	pỗcashi
ছিয়াশি	chiẏashi
সাতাশি	shatashi
উননব্বই	unônôbbôi
একানব্বই	ekanôbbôi
বিরানব্বই	biranôbbôi
তিরানব্বই	tiranôbbôi
চুরানব্বই	curanôbbôi
পঁচানব্বই	pỗcanôbbôi
ছিয়ানব্বই	chiẏanôbbôi
সাতানব্বই	shatanôbbôi
নিরানব্বই	niranôbbôi
উৎকোচ	uṯkoca
চাট্নি	cāṭni
শর্টস	shôrtôs
নির্জীব	nirjib
জীবনহীন	jibônhin
মৃত	mritô
পর্যটন	paryaṭan
সোয়েটার	soyeţar
মাতৃভাষা	matribhasha
ময়না	môyna
নখর	nôkhôr
অধ্যাপক	adhyāpaka
বাস্তুসংস্থান	bastusônsthan
বাস্তুতন্ত্র	bastutôntrô
শুয়ে পড়া	suẏe pôŗa
ভোজনশালা	bhōjanaśālā
